id_cliente,fecha_hora,nombre,email,telefono,ciudad,tipo_cliente,sucursal_preferida
C-C3F8A0F493,2026-09-11 17:51:11,Elena Vargas,elena.vargas.52@obelie.mx,3376423431,Zapopan,frecuente,Norte
C-182E45FC82,2026-09-11 17:51:12,Elena Vargas,elena.vargas.30@obelie.mx,3391696493,Tlajomulco,nuevo,Centro
C-C13539EEFE,2026-09-11 17:51:13,Fernando Diaz,fernando.diaz.69@obelie.mx,3320251064,Tonalá,evento,Plaza Obelie
C-138A5AFF6B,2026-09-11 17:51:14,Mateo Aguilar,mateo.aguilar.69@obelie.mx,3329319545,Tlaquepaque,frecuente,Sur
C-94559753E4,2026-09-11 17:51:11,Camila Herrera,camila.herrera.44@obelie.mx,3345608569,Tlaquepaque,mayoreo,Centro
C-9C291FF66C,2026-09-11 17:51:12,Sofia Ramirez,sofia.ramirez.43@obelie.mx,3322757071,Guadalajara,nuevo,Sur
C-4DADB941B9,2026-09-11 17:51:14,Valeria Ortiz,valeria.ortiz.23@obelie.mx,3354461225,Tonalá,mayoreo,Centro
C-91C2068309,2026-09-11 17:51:15,Sofia Ramirez,sofia.ramirez.38@obelie.mx,3390165516,Tlaquepaque,frecuente,Norte
C-115E62D16E,2026-09-11 17:51:16,Hugo Salazar,hugo.salazar.93@obelie.mx,3319681867,Tlajomulco,frecuente,Plaza Obelie
C-3C4BA7494B,2026-09-11 17:51:16,Daniela Pineda,daniela.pineda.34@obelie.mx,3368375340,Tlajomulco,evento,Centro
C-565E2CE241,2026-09-11 17:51:17,Mateo Aguilar,mateo.aguilar.54@obelie.mx,3378472818,Tlajomulco,nuevo,Centro
C-33B5E0CBBA,2026-09-11 17:51:17,Ricardo Flores,ricardo.flores.42@obelie.mx,3397402442,Zapopan,frecuente,Centro
C-4594BE7E23,2026-09-11 17:51:18,Hugo Salazar,hugo.salazar.34@obelie.mx,3328248696,Guadalajara,evento,Sur
C-95B93EF752,2026-09-11 17:51:19,Camila Herrera,camila.herrera.74@obelie.mx,3357411779,Tlajomulco,nuevo,Norte
C-733B641A55,2026-09-11 17:51:19,Daniela Pineda,daniela.pineda.75@obelie.mx,3379149459,Tlaquepaque,mayoreo,Centro
C-7BE338FFDB,2026-09-11 17:51:20,Daniela Pineda,daniela.pineda.57@obelie.mx,3350493741,Tlajomulco,mayoreo,Sur
C-7898800A36,2026-09-11 17:51:21,Ricardo Flores,ricardo.flores.95@obelie.mx,3393313469,Tonalá,nuevo,Norte
C-441A4E0E79,2026-09-11 17:51:21,Andres Molina,andres.molina.74@obelie.mx,3367534961,Tlajomulco,evento,Centro
C-6BC998A07F,2026-09-11 17:51:22,Paola Nunez,paola.nunez.51@obelie.mx,3376855268,Tlaquepaque,frecuente,Norte
C-916CC89024,2026-09-11 17:51:22,Ricardo Flores,ricardo.flores.82@obelie.mx,3331082103,Zapopan,mayoreo,Norte
C-A777E2BF42,2026-09-11 17:51:23,Camila Herrera,camila.herrera.79@obelie.mx,3372247212,Tlajomulco,evento,Plaza Obelie
C-FC13BE75C2,2026-09-11 17:51:24,Fernando Diaz,fernando.diaz.42@obelie.mx,3329563743,Tlaquepaque,frecuente,Norte
C-CEC25755A9,2026-09-11 17:51:24,Andres Molina,andres.molina.54@obelie.mx,3316643830,Tlajomulco,frecuente,Sur
C-B794A9D708,2026-09-11 17:51:25,Ricardo Flores,ricardo.flores.41@obelie.mx,3375898065,Tonalá,mayoreo,Plaza Obelie
C-4BFCABB2D2,2026-09-11 17:51:26,Andres Molina,andres.molina.99@obelie.mx,3359638326,Tonalá,frecuente,Plaza Obelie
C-EDA31396EF,2026-09-11 17:51:27,Ricardo Flores,ricardo.flores.93@obelie.mx,3377322985,Tlajomulco,nuevo,Norte
C-9CCC045C4D,2026-09-11 17:51:27,Mateo Aguilar,mateo.aguilar.28@obelie.mx,3348934336,Zapopan,frecuente,Sur
C-C7514AC95C,2026-09-11 17:51:28,Paola Nunez,paola.nunez.49@obelie.mx,3348365134,Guadalajara,nuevo,Sur
C-639ABC0D93,2026-09-11 17:51:28,Andres Molina,andres.molina.43@obelie.mx,3324701067,Guadalajara,mayoreo,Plaza Obelie
C-DF609FBD28,2026-09-11 17:51:29,Paola Nunez,paola.nunez.33@obelie.mx,3385538907,Tonalá,nuevo,Plaza Obelie
C-E836A15844,2026-09-11 17:51:30,Mateo Aguilar,mateo.aguilar.31@obelie.mx,3395682190,Guadalajara,evento,Sur
C-1DB7C34E95,2026-09-11 17:51:31,Jorge Castillo,jorge.castillo.93@obelie.mx,3310569368,Tonalá,evento,Centro
C-519B800C3C,2026-09-11 17:51:31,Ricardo Flores,ricardo.flores.49@obelie.mx,3383097147,Tlajomulco,evento,Plaza Obelie
C-54234BF1EE,2026-09-11 17:51:32,Sofia Ramirez,sofia.ramirez.59@obelie.mx,3356145106,Tlajomulco,evento,Plaza Obelie
C-34B6F5DCF4,2026-09-11 17:51:33,Valeria Ortiz,valeria.ortiz.76@obelie.mx,3380084730,Tlajomulco,mayoreo,Sur
C-C8818AC2FF,2026-09-11 17:51:33,Jorge Castillo,jorge.castillo.54@obelie.mx,3384605734,Tonalá,evento,Centro
C-B5D9AF7378,2026-09-11 17:51:34,Ricardo Flores,ricardo.flores.46@obelie.mx,3338892965,Guadalajara,frecuente,Plaza Obelie
C-AFBCCC476A,2026-09-11 17:51:34,Daniela Pineda,daniela.pineda.89@obelie.mx,3388075239,Tonalá,mayoreo,Plaza Obelie
C-28171B5129,2026-09-11 17:51:35,Ricardo Flores,ricardo.flores.30@obelie.mx,3381873280,Tlajomulco,frecuente,Plaza Obelie
C-A7A95D93AC,2026-09-11 17:51:36,Fernando Diaz,fernando.diaz.15@obelie.mx,3341103345,Tonalá,nuevo,Norte
C-B3927AFA7A,2026-09-11 17:51:36,Paola Nunez,paola.nunez.88@obelie.mx,3374917545,Tlaquepaque,evento,Norte
C-110B2909E5,2026-09-11 17:51:37,Camila Herrera,camila.herrera.74@obelie.mx,3384745454,Zapopan,nuevo,Norte
C-1EDE88F304,2026-09-11 17:51:38,Jorge Castillo,jorge.castillo.46@obelie.mx,3371525870,Tlajomulco,evento,Plaza Obelie
C-2EB71671C1,2026-09-11 17:51:39,Sofia Ramirez,sofia.ramirez.94@obelie.mx,3385504947,Tonalá,frecuente,Centro
C-52A8E079CA,2026-09-11 17:51:39,Mateo Aguilar,mateo.aguilar.62@obelie.mx,3383974028,Tonalá,evento,Centro
